"행정구역(동읍면)별","5세별","항목","단위","2019 년",
"서울특별시","계","총인구수","명","9729107",
"서울특별시","계","남자인구수","명","4744059",
"서울특별시","계","여자인구수","명","4985048",
"서울특별시","0 - 4세","총인구수","명","300799",
"서울특별시","0 - 4세","남자인구수","명","154742",
"서울특별시","0 - 4세","여자인구수","명","146057",
"서울특별시","5 - 9세","총인구수","명","361894",
"서울특별시","5 - 9세","남자인구수","명","185592",
"서울특별시","5 - 9세","여자인구수","명","176302",
"서울특별시","10 - 14세","총인구수","명","370557",
"서울특별시","10 - 14세","남자인구수","명","190760",
"서울특별시","10 - 14세","여자인구수","명","179797",
"서울특별시","15 - 19세","총인구수","명","449014",
"서울특별시","15 - 19세","남자인구수","명","230579",
"서울특별시","15 - 19세","여자인구수","명","218435",
"서울특별시","20 - 24세","총인구수","명","641964",
"서울특별시","20 - 24세","남자인구수","명","310553",
"서울특별시","20 - 24세","여자인구수","명","331411",
"서울특별시","25 - 29세","총인구수","명","814659",
"서울특별시","25 - 29세","남자인구수","명","403107",
"서울특별시","25 - 29세","여자인구수","명","411552",
"서울특별시","30 - 34세","총인구수","명","725858",
"서울특별시","30 - 34세","남자인구수","명","361646",
"서울특별시","30 - 34세","여자인구수","명","364212",
"서울특별시","35 - 39세","총인구수","명","784101",
"서울특별시","35 - 39세","남자인구수","명","393184",
"서울특별시","35 - 39세","여자인구수","명","390917",
"서울특별시","40 - 44세","총인구수","명","725112",
"서울특별시","40 - 44세","남자인구수","명","358785",
"서울특별시","40 - 44세","여자인구수","명","366327",
"서울특별시","45 - 49세","총인구수","명","835871",
"서울특별시","45 - 49세","남자인구수","명","414743",
"서울특별시","45 - 49세","여자인구수","명","421128",
"서울특별시","50 - 54세","총인구수","명","775779",
"서울특별시","50 - 54세","남자인구수","명","382449",
"서울특별시","50 - 54세","여자인구수","명","393330",
"서울특별시","55 - 59세","총인구수","명","764189",
"서울특별시","55 - 59세","남자인구수","명","371993",
"서울특별시","55 - 59세","여자인구수","명","392196",
"서울특별시","60 - 64세","총인구수","명","700646",
"서울특별시","60 - 64세","남자인구수","명","332818",
"서울특별시","60 - 64세","여자인구수","명","367828",
"서울특별시","65 - 69세","총인구수","명","489156",
"서울특별시","65 - 69세","남자인구수","명","229978",
"서울특별시","65 - 69세","여자인구수","명","259178",
"서울특별시","70 - 74세","총인구수","명","388790",
"서울특별시","70 - 74세","남자인구수","명","178497",
"서울특별시","70 - 74세","여자인구수","명","210293",
"서울특별시","75 - 79세","총인구수","명","295297",
"서울특별시","75 - 79세","남자인구수","명","133393",
"서울특별시","75 - 79세","여자인구수","명","161904",
"서울특별시","80 - 84세","총인구수","명","178836",
"서울특별시","80 - 84세","남자인구수","명","72707",
"서울특별시","80 - 84세","여자인구수","명","106129",
"서울특별시","85 - 89세","총인구수","명","80651",
"서울특별시","85 - 89세","남자인구수","명","26524",
"서울특별시","85 - 89세","여자인구수","명","54127",
"서울특별시","90 - 94세","총인구수","명","30848",
"서울특별시","90 - 94세","남자인구수","명","8008",
"서울특별시","90 - 94세","여자인구수","명","22840",
"서울특별시","95 - 99세","총인구수","명","8842",
"서울특별시","95 - 99세","남자인구수","명","2405",
"서울특별시","95 - 99세","여자인구수","명","6437",
"서울특별시","100+","총인구수","명","6244",
"서울특별시","100+","남자인구수","명","1596",
"서울특별시","100+","여자인구수","명","4648",
"종로구","계","총인구수","명","151290",
"종로구","계","남자인구수","명","73746",
"종로구","계","여자인구수","명","77544",
"종로구","0 - 4세","총인구수","명","3540",
"종로구","0 - 4세","남자인구수","명","1780",
"종로구","0 - 4세","여자인구수","명","1760",
"종로구","5 - 9세","총인구수","명","4671",
"종로구","5 - 9세","남자인구수","명","2363",
"종로구","5 - 9세","여자인구수","명","2308",
"종로구","10 - 14세","총인구수","명","5153",
"종로구","10 - 14세","남자인구수","명","2617",
"종로구","10 - 14세","여자인구수","명","2536",
"종로구","15 - 19세","총인구수","명","6595",
"종로구","15 - 19세","남자인구수","명","3315",
"종로구","15 - 19세","여자인구수","명","3280",
"종로구","20 - 24세","총인구수","명","10924",
"종로구","20 - 24세","남자인구수","명","5185",
"종로구","20 - 24세","여자인구수","명","5739",
"종로구","25 - 29세","총인구수","명","12648",
"종로구","25 - 29세","남자인구수","명","6499",
"종로구","25 - 29세","여자인구수","명","6149",
"종로구","30 - 34세","총인구수","명","10172",
"종로구","30 - 34세","남자인구수","명","5080",
"종로구","30 - 34세","여자인구수","명","5092",
"종로구","35 - 39세","총인구수","명","10204",
"종로구","35 - 39세","남자인구수","명","5006",
"종로구","35 - 39세","여자인구수","명","5198",
"종로구","40 - 44세","총인구수","명","9981",
"종로구","40 - 44세","남자인구수","명","4802",
"종로구","40 - 44세","여자인구수","명","5179",
"종로구","45 - 49세","총인구수","명","13096",
"종로구","45 - 49세","남자인구수","명","6420",
"종로구","45 - 49세","여자인구수","명","6676",
"종로구","50 - 54세","총인구수","명","12768",
"종로구","50 - 54세","남자인구수","명","6361",
"종로구","50 - 54세","여자인구수","명","6407",
"종로구","55 - 59세","총인구수","명","12946",
"종로구","55 - 59세","남자인구수","명","6571",
"종로구","55 - 59세","여자인구수","명","6375",
"종로구","60 - 64세","총인구수","명","11274",
"종로구","60 - 64세","남자인구수","명","5698",
"종로구","60 - 64세","여자인구수","명","5576",
"종로구","65 - 69세","총인구수","명","7854",
"종로구","65 - 69세","남자인구수","명","3788",
"종로구","65 - 69세","여자인구수","명","4066",
"종로구","70 - 74세","총인구수","명","6702",
"종로구","70 - 74세","남자인구수","명","2993",
"종로구","70 - 74세","여자인구수","명","3709",
"종로구","75 - 79세","총인구수","명","5836",
"종로구","75 - 79세","남자인구수","명","2559",
"종로구","75 - 79세","여자인구수","명","3277",
"종로구","80 - 84세","총인구수","명","3836",
"종로구","80 - 84세","남자인구수","명","1604",
"종로구","80 - 84세","여자인구수","명","2232",
"종로구","85 - 89세","총인구수","명","1837",
"종로구","85 - 89세","남자인구수","명","670",
"종로구","85 - 89세","여자인구수","명","1167",
"종로구","90 - 94세","총인구수","명","725",
"종로구","90 - 94세","남자인구수","명","242",
"종로구","90 - 94세","여자인구수","명","483",
"종로구","95 - 99세","총인구수","명","275",
"종로구","95 - 99세","남자인구수","명","111",
"종로구","95 - 99세","여자인구수","명","164",
"종로구","100+","총인구수","명","253",
"종로구","100+","남자인구수","명","82",
"종로구","100+","여자인구수","명","171",
"청운효자동","계","총인구수","명","12734",
"청운효자동","계","남자인구수","명","5939",
"청운효자동","계","여자인구수","명","6795",
"청운효자동","0 - 4세","총인구수","명","385",
"청운효자동","0 - 4세","남자인구수","명","195",
"청운효자동","0 - 4세","여자인구수","명","190",
"청운효자동","5 - 9세","총인구수","명","516",
"청운효자동","5 - 9세","남자인구수","명","270",
"청운효자동","5 - 9세","여자인구수","명","246",
"청운효자동","10 - 14세","총인구수","명","581",
"청운효자동","10 - 14세","남자인구수","명","293",
"청운효자동","10 - 14세","여자인구수","명","288",
"청운효자동","15 - 19세","총인구수","명","677",
"청운효자동","15 - 19세","남자인구수","명","374",
"청운효자동","15 - 19세","여자인구수","명","303",
"청운효자동","20 - 24세","총인구수","명","807",
"청운효자동","20 - 24세","남자인구수","명","412",
"청운효자동","20 - 24세","여자인구수","명","395",
"청운효자동","25 - 29세","총인구수","명","821",
"청운효자동","25 - 29세","남자인구수","명","391",
"청운효자동","25 - 29세","여자인구수","명","430",
"청운효자동","30 - 34세","총인구수","명","804",
"청운효자동","30 - 34세","남자인구수","명","389",
"청운효자동","30 - 34세","여자인구수","명","415",
"청운효자동","35 - 39세","총인구수","명","956",
