행정구역(동읍면)별,5세별,2019. 12,2019. 12,2019. 12
행정구역(동읍면)별,5세별,총인구수 (명),남자인구수 (명),여자인구수 (명)
서울특별시,계,"9,729,107","4,744,059","4,985,048"
서울특별시,0 - 4세,"300,799","154,742","146,057"
서울특별시,5 - 9세,"361,894","185,592","176,302"
서울특별시,10 - 14세,"370,557","190,760","179,797"
서울특별시,15 - 19세,"449,014","230,579","218,435"
서울특별시,20 - 24세,"641,964","310,553","331,411"
서울특별시,25 - 29세,"814,659","403,107","411,552"
서울특별시,30 - 34세,"725,858","361,646","364,212"
서울특별시,35 - 39세,"784,101","393,184","390,917"
서울특별시,40 - 44세,"725,112","358,785","366,327"
서울특별시,45 - 49세,"835,871","414,743","421,128"
서울특별시,50 - 54세,"775,779","382,449","393,330"
서울특별시,55 - 59세,"764,189","371,993","392,196"
서울특별시,60 - 64세,"700,646","332,818","367,828"
서울특별시,65 - 69세,"489,156","229,978","259,178"
서울특별시,70 - 74세,"388,790","178,497","210,293"
서울특별시,75 - 79세,"295,297","133,393","161,904"
서울특별시,80 - 84세,"178,836","72,707","106,129"
서울특별시,85 - 89세,"80,651","26,524","54,127"
서울특별시,90 - 94세,"30,848","8,008","22,840"
서울특별시,95 - 99세,"8,842","2,405","6,437"
서울특별시,100+,"6,244","1,596","4,648"
　　　종로구,계,"151,290","73,746","77,544"
　　　종로구,0 - 4세,"3,540","1,780","1,760"
　　　종로구,5 - 9세,"4,671","2,363","2,308"
　　　종로구,10 - 14세,"5,153","2,617","2,536"
　　　종로구,15 - 19세,"6,595","3,315","3,280"
　　　종로구,20 - 24세,"10,924","5,185","5,739"
　　　종로구,25 - 29세,"12,648","6,499","6,149"
　　　종로구,30 - 34세,"10,172","5,080","5,092"
　　　종로구,35 - 39세,"10,204","5,006","5,198"
　　　종로구,40 - 44세,"9,981","4,802","5,179"
　　　종로구,45 - 49세,"13,096","6,420","6,676"
　　　종로구,50 - 54세,"12,768","6,361","6,407"
　　　종로구,55 - 59세,"12,946","6,571","6,375"
　　　종로구,60 - 64세,"11,274","5,698","5,576"
